SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT
36.0,0.0,1.7,0.0,14.51,0.0,0.0
0.0,0.0,1.4,0.0,13.98,0.0,0.0
0.0,0.0,1.1,0.0,13.21,0.0,0.0
0.0,0.0,1.4,0.0,12.94,0.0,0.0
0.0,0.0,0.7,0.0,11.92,0.0,0.0
0.0,0.0,0.2,0.0,11.42,0.0,0.0
0.0,0.0,0.0,0.0,10.15,0.0,0.0
0.0,0.0,0.0,0.0,10.16,0.0,0.0
0.0,0.0,0.0,0.0,9.44,0.0,0.0
0.0,0.0,0.0,0.0,9.25,0.0,0.0
0.0,0.0,0.0,0.0,9.11,0.0,0.0
0.0,0.0,0.1,0.0,9.74,0.0,0.0
0.0,0.0,0.0,0.0,8.9,0.0,0.0
0.0,0.0,0.0,0.0,8.68,0.0,0.0
0.0,0.0,0.3,0.0,8.21,0.0,0.0
0.0,0.0,0.9,0.0,7.59,0.0,0.0
63.0,0.0,1.0,0.0,8.26,0.0,0.0
157.0,0.0,1.7,0.0,9.74,0.0,0.0
186.0,0.0,0.5,0.0,11.21,0.0,0.0
316.0,0.0,1.0,0.0,12.75,0.0,0.0
309.0,0.0,1.3,0.0,15.21,0.0,0.0
